ensg_id,coef,HRS_mean
ENSG00000197857,-0.263020832,5.455753
ENSG00000080200,-0.196406224,5.788726
ENSG00000183691,-0.185617313,1.82942
ENSG00000151136,-0.130715505,4.188004
ENSG00000184613,-0.114944924,6.234513
ENSG00000173480,-0.084419049,5.28552
ENSG00000198178,-0.082083081,2.066148
ENSG00000124225,-0.07680809,1.557482
ENSG00000204599,-0.059137442,4.27819
ENSG00000144290,-0.057922773,2.492018
ENSG00000174469,-0.04836039,1.114687
ENSG00000140807,-0.02724964,1.66227
ENSG00000096696,-0.012246036,0.7846813
ENSG00000198954,-0.011956462,3.704785
ENSG00000154188,-0.00797741,3.393287
ENSG00000152990,-0.006878928,1.806292
ENSG00000130300,-0.006678075,2.369717
ENSG00000153898,0.001746894,4.346722
ENSG00000143079,0.019146873,2.364457
ENSG00000263874,0.022183043,2.535486
ENSG00000155380,0.025096905,3.854667
ENSG00000142794,0.030298952,3.730711
ENSG00000177301,0.040226036,1.81257
ENSG00000203666,0.053110525,2.671431
age,0.054196155,
ENSG00000147883,0.055979362,2.381816
ENSG00000072954,0.057562223,1.778165
ENSG00000174456,0.069658044,3.971914
ENSG00000166503,0.089420619,3.283446
ENSG00000083750,0.098046535,4.199124
ENSG00000154165,0.115715494,3.184217
ENSG00000175556,0.149462019,3.771954
ENSG00000145495,0.150217931,8.103804
ENSG00000151694,0.175123159,6.522068
ENSG00000138613,0.285767608,5.567175
ENSG00000197006,0.540103923,7.209296
