ensg_id,mean
ENSG00000197857,5.455752586
ENSG00000080200,5.788726093
ENSG00000183691,1.829420488
ENSG00000151136,4.188003934
ENSG00000184613,6.23451289
ENSG00000173480,5.285519558
ENSG00000198178,2.066147557
ENSG00000124225,1.557482115
ENSG00000204599,4.278190331
ENSG00000144290,2.492018373
ENSG00000174469,1.114687088
ENSG00000140807,1.662269945
ENSG00000096696,0.784681334
ENSG00000198954,3.704784763
ENSG00000154188,3.393286839
ENSG00000152990,1.806291786
ENSG00000130300,2.369717333
ENSG00000153898,4.346722362
ENSG00000143079,2.36445738
ENSG00000263874,2.535486499
ENSG00000155380,3.854666935
ENSG00000142794,3.730711106
ENSG00000177301,1.812569712
ENSG00000203666,2.671431274
ENSG00000147883,2.381816139
ENSG00000072954,1.778164947
ENSG00000174456,3.971914455
ENSG00000166503,3.28344639
ENSG00000083750,4.199124284
ENSG00000154165,3.184217285
ENSG00000175556,3.77195369
ENSG00000145495,8.103803846
ENSG00000151694,6.52206787
ENSG00000138613,5.567175466
ENSG00000197006,7.209296418
