"person1" "person2" "person3" "person4" "person5" "person6" "person7" "person8" "person9" "person10"
"ENSG00000188976" -1.01570905 0.09681845 -2.06353158 5.08190262 0.92110182 5.24423097 1.76204451 1.42815731 3.34912757 -1.00482359
"ENSG00000187961" 1.0308858 1.2489574 1.8403828 0.1352864 -1.2622445 -1.63082 2.4391931 2.0916521 2.4532983 -1.1385144
"ENSG00000188290" 3.2005013 4.6421392 5.9546781 0.6395831 3.7079074 0.9014012 3.2436261 -1.3300958 3.2560811 3.170318
"ENSG00000187608" 7.0437057 8.8434617 9.5846539 -1.385122 7.1188285 9.4543951 8.0991039 9.2319678 -0.3258953 8.7489971
"ENSG00000131591" 0.6192994 4.2851828 4.1743013 2.0850857 -0.8964294 3.2690977 2.1431038 -1.0338892 2.4860711 0.4743842
"ENSG00000186891" 2.73309699 -0.64414285 0.02146876 3.24590557 1.16758978 2.56899708 -1.84438688 -1.8392335 1.56715446 -0.69406506
"ENSG00000186827" -0.5223097 1.7554553 0.4152713 2.8196497 -1.3490769 4.0195897 1.9099152 1.9451352 2.5074991 1.0799524
"ENSG00000078808" 1.7345903 3.4754259 6.1486683 0.4950022 4.5112917 2.1268468 5.1130815 5.5256781 6.252588 5.7567578
"ENSG00000176022" 2.116054 1.977996 4.27844 1.741322 4.470864 5.013723 3.089678 1.233172 3.607285 4.439674
"ENSG00000160087" 3.307191 6.443868 5.281056 5.972062 3.629919 5.964097 5.699099 5.023332 3.505482 2.944803
"ENSG00000131584" 3.3437792 4.8899507 -0.3489556 3.6931201 1.4192891 1.2810672 -1.5468333 1.5694337 2.7016596 4.9950607
"ENSG00000169972" 2.59228859 -2.00081526 1.11762726 -0.3901793 -1.85295548 -0.07481917 -0.58035437 3.35007619 3.22280028 1.35883937
"ENSG00000127054" 6.355981 5.817123 1.111286 4.067892 2.582117 4.556008 4.328202 4.69246 4.247536 1.125143
"ENSG00000224051" -0.3751187 -1.0185431 -1.0424265 1.3094399 0.5156228 0.2769299 3.0156358 -0.8100456 1.0014235 0.3117486
"ENSG00000107404" -0.142132 3.9223118 0.2222283 -1.4852283 4.9952483 0.7569106 0.3748148 2.8917706 3.7310235 1.5436347
"ENSG00000175756" 5.6507258 -1.6538082 3.5073263 4.7875357 0.7273735 5.6679084 1.9517547 5.7885462 0.5168213 2.9068474
"ENSG00000221978" 7.899193 7.438872 7.167416 7.36189 7.979266 7.808528 6.917827 7.823253 6.87159 7.002691
"ENSG00000242485" 4.144831 3.026941 4.001674 5.26616 3.387714 3.537101 2.630162 5.137896 4.008775 4.895496
"ENSG00000160072" -0.23878894 3.23742212 4.57898675 1.40914286 -0.75203463 1.86136772 4.65244742 -1.81083234 -0.07396414 5.17051305
"ENSG00000197785" 1.4390016 3.3463177 2.5826417 -1.7869021 -0.3461919 0.8517014 1.9825679 -0.4449391 0.5831589 2.091073
"ENSG00000160075" 4.374354 6.830181 5.182877 4.742906 6.869985 6.547958 5.2489 6.700408 4.613791 6.878629
"ENSG00000197530" 2.4818173 0.1130429 3.4526332 1.2918243 4.745422 1.5135946 5.0245593 -0.4186635 2.8779845 2.4849164
